timestamp,load,vibration_x,vibration_y,q3,servo1_raw,servo3_raw,servo5_raw,servo6_raw,xgyro,yacc,pitch,rollspeed,label
29:06.1,467,3.09E-09,9.08E-05,-0.000446477,450,450,450,450,-0.001010039,-0.000821675,-0.000901694,-0.001924308,benign
29:07.2,502,3.13E-09,9.05E-05,-0.000111024,450,450,450,450,-0.002581,-0.003002222,-0.000285028,-0.001185061,benign
29:08.2,526,3.32E-09,9.27E-05,-0.000120408,450,450,450,450,0.002130069,0.001473677,-0.000213712,0.00122252,benign
29:09.3,527,3.24E-09,9.41E-05,-0.00027821,450,450,450,450,0.001482033,0.001664096,-0.000464006,-0.000478387,benign
29:10.3,528,3.34E-09,9.41E-05,-0.000205725,450,450,450,450,0.000170024,-0.001864645,-0.000273274,7.94E-05,benign
29:11.4,528,3.46E-09,9.59E-05,-0.000644952,450,450,450,450,0.001541394,-0.004832912,-0.001145289,-0.000654433,benign
29:12.4,527,3.22E-09,9.25E-05,-0.000291324,450,450,450,450,-0.000851191,-0.002010718,-0.000545062,-0.000394566,benign
29:13.5,533,3.04E-09,8.97E-05,-5.07E-05,450,450,450,450,0.000611287,0.002746203,-0.000134984,-0.000229567,benign
29:14.6,529.5,3.17E-09,9.01E-05,-0.000325934,450,450,450,450,-0.000685791,0.003048413,-0.000713152,0.00052944,benign
29:15.6,532,3.15E-09,9.01E-05,-0.000496997,450,450,450,450,0.00097087,0.005250986,-0.001175598,-0.000440919,benign
29:16.6,529,3.49E-09,9.49E-05,-0.000525038,450,450,450,450,-0.001451108,0.012453112,-0.001276141,0.00107206,benign
29:17.7,528,3.29E-09,9.06E-05,-0.000182796,450,450,450,450,0.000630643,0.00478361,-0.00057991,-0.000867746,benign
29:18.7,531,2.90E-09,8.47E-05,-0.000289876,450,450,450,450,-0.001148631,0.013162186,-0.000845897,0.000311767,benign
29:19.8,530,3.10E-09,9.20E-05,-0.000415756,450,450,450,450,-0.002160317,-0.00446828,-0.001134963,-0.001090202,benign
29:20.8,547,3.14E-09,9.26E-05,-0.000415331,450,450,450,450,9.74E-05,0.005368009,-0.001189026,-0.001731261,benign
